code,system,name_en,name_ta,name_hi,description,category,dosha,tm2_code,icd11_mms_code,snomed_ct,loinc,symptoms,signs,risk_factors
AYU-D-0001,AYU,Vataja Jwara,வாத ஜ்வர,वात ज्वर,Vata-type fever characterized by dryness, body pain, and variable temperature,Digestive Disorders,Vata,TM2-SC04,5A10.0,404684003,8310-2,dry cough,body pain,variable temperature,irregular eating habits,excessive travel
AYU-D-0002,AYU,Pittaja Jwara,பித்த ஜ்வர,पित्त ज्वर,Pitta-type fever with burning sensation, thirst, and high temperature,Digestive Disorders,Pitta,TM2-SC04,5A10.0,404684003,8310-2,burning sensation,thirst,high temperature,spicy foods,excessive sun exposure
AYU-D-0003,AYU,Kaphaja Jwara,கப ஜ்வர,कफ ज्वर,Kapha-type fever with heaviness, congestion, and low-grade temperature,Digestive Disorders,Kapha,TM2-SC04,5A10.0,404684003,8310-2,heaviness,congestion,low-grade temperature,heavy foods,cold weather
AYU-D-0101,AYU,Udakameha,உதகமேக,उदकमेह,Diabetes with frequent urination and sweet urine,Endocrine Disorders,Kapha,TM2-BC23,5A11.0,44054006,2345-7,frequent urination,sweet urine,thirst,sedentary lifestyle,sweet foods
AYU-D-0102,AYU,Ikshuvalikarasa,இக்ஷுவலிகரச,इक्षुवलिकरस,Sugar-related diabetes from excessive sweet consumption,Endocrine Disorders,Kapha,TM2-BC23,5A11.0,44054006,2345-7,excessive sugar craving,weight gain,fatigue,refined sugar,processed foods
AYU-D-0110,AYU,Madhumeha,மதுமேக,मधुमेह,Honey-like urine diabetes - advanced stage,Endocrine Disorders,Kapha,TM2-BC23,5A11.0,44054006,2345-7,sweet urine,slow healing,wounds,genetic predisposition,obesity
AYU-D-0201,AYU,Hridroga,ஹிரிதோக,हृद्रोग,General heart disease in Ayurvedic terminology,Cardiovascular Disorders,Vata,TM2-SC11,BA80.0,22298006,8462-4,chest pain,palpitations,breathlessness,high stress,unhealthy diet
AYU-D-0202,AYU,Vataja Hridroga,வாத ஹிரிதோக,वात हृद्रोग,Vata-type heart disease with irregular heartbeat,Cardiovascular Disorders,Vata,TM2-SC11,BA80.0,22298006,8462-4,irregular heartbeat,anxiety,insomnia,excessive mental work,anxiety
AYU-D-0301,AYU,Amavata,அமவத,अमवात,Rheumatoid arthritis with joint stiffness and pain,Musculoskeletal Disorders,Vata,TM2-SD05,FA00.0,302869004,8468-2,joint stiffness,morning pain,swelling,improper digestion,cold climate
AYU-D-0302,AYU,Sandhivata,சந்திவத,संधिवात,Osteoarthritis with joint degeneration,Musculoskeletal Disorders,Vata,TM2-SD05,FA00.0,302869004,8468-2,joint pain,reduced mobility,crepitus,aging,obesity
AYU-D-0401,AYU,Kamala,கமல,कामला,Jaundice with yellow discoloration,Hepatic Disorders,Pitta,TM2-SC09,9B20.0,40468003,1975-2,yellow skin,dark urine,loss of appetite,liver dysfunction,alcohol
AYU-D-0402,AYU,Rakta Pitta,ரக்த பித்த,रक्त पित्त,Blood disorders with bleeding tendencies,Hematologic Disorders,Pitta,TM2-SC15,5C80.0,126670004,8468-2,bleeding,bruising,weakness,genetic factors,nutritional deficiency
AYU-D-0501,AYU,Pratishyaya,பிரதிஷ்யாய,प्रतिश्याय,Chronic rhinitis with nasal congestion,Respiratory Disorders,Kapha,TM2-SC01,CA00.0,4086005,8468-2,nasal congestion,headache,post-nasal drip,allergies,pollution
AYU-D-0502,AYU,Tamaka Shvasa,தமக ஸ்வாஸ,तमक श्वास,Bronchial asthma with wheezing,Respiratory Disorders,Vata,TM2-SC01,CA08.0,195967001,8468-2,wheezing,shortness of breath,cough,allergens,cold air
AYU-D-0601,AYU,Atisara,அதிஸார,अतिसार,Gastroenteritis with diarrhea,Gastrointestinal Disorders,Pitta,TM2-SC06,9B10.0,422587007,8468-2,diarrhea,abdominal pain,dehydration,contaminated food,poor hygiene
